Potato,529.09,2020-12-31,30.00
Steak,3116.05,2020-12-31,56.32
Tomato,140.98,2020-12-31,5.94
Onion,155.35,2020-12-31,5.23
Broccoli,502.04,2020-12-31,10.34
Salmon,186.33,2020-12-31,12.21
Chicken,158.94,2020-12-31,35.87
Sweet Potato,150.43,2020-12-31,15.98
BBQ Sauce,302.86,2020-12-31,9.00
Hot Sauce,100.88,2020-12-31,2.00
Corn,50.05,2020-12-31,2.00
Quinoa,186.33,2020-12-31,5.00
Soy ,156.33,2020-12-31,5.00
Lettuce,50.00,2020-12-31,3.50
Olives,25.00,2020-12-31,1.00
Rice,150.23,2020-12-31,20.43
Bread,200.00,2020-12-31,15.00
Tea,60.43,2020-12-31,5.00
Water,65.04,2050-12-31,30.0
